#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0.000000,0.000000,0.000000,0.000000,0.000000
5,40.150002,15.270000,15.260000,15.250000,15.270000
10,60.020000,31.410000,30.110001,30.160000,31.870001
15,72.230003,45.439999,42.750000,42.330002,46.570000
20,80.180000,58.330002,51.970001,52.509998,60.560001
25,84.889999,68.389999,59.939999,59.470001,71.349998
30,87.620003,76.199997,66.110001,66.230003,78.400002
35,89.489998,80.839996,70.989998,70.959999,81.989998
40,90.989998,83.760002,75.099998,74.639999,84.209999
45,92.279999,85.680000,78.300003,78.230003,85.940002
50,93.370003,87.110001,80.820000,81.150002,87.110001
55,94.269997,88.320000,83.209999,83.239998,88.330002
60,95.089996,89.489998,85.000000,85.540001,89.349998
65,95.830002,90.540001,87.459999,86.639999,90.599998
70,96.489998,91.629997,89.260002,89.389999,91.879997
75,97.089996,92.900002,91.419998,91.440002,93.010002
80,97.620003,94.260002,92.889999,92.820000,94.139999
85,98.080002,95.419998,94.599998,94.650002,95.540001
90,98.440002,96.629997,95.970001,96.099998,96.599998
95,98.739998,97.800003,97.550003,97.459999,97.779999
100,99.000000,99.000000,99.000000,99.000000,99.000000
